Index,gain_kr,gain_ks,gain_to,gain_na,gain_ca,APD90,APD60,APD40,APA,TRI60,TRI40,EAD,90PERCENT,90to90,Alternan,Pro-Arrhythmic
580,1.064925930070478,1,1,1.329577435366211,1,264.06357160262996,229.31294401583727,184.7093604845577,129.35568464807525,-1.1517483536386572,-0.9540834594339023,,-77.61410365673349,265.1763551373733,False,False
581,0.7897374599388944,1,1,0.5910673074947702,1,309.68392746377503,277.58946821140125,232.19161009119125,114.13480021013281,-1.0941339657124938,-0.9338591395050446,,-79.18275029132836,311.3747484071646,False,False
582,2.1786199911091977,1,1,2.669872640768463,1,175.02969995880267,150.7161284284084,123.68177865375765,141.36483751980774,-1.745876654471983,-1.5393160309611842,,-76.34668698099675,175.90725190471858,False,False
583,2.0866307727452638,1,1,2.9369908200296555,1,179.37745497428114,153.4654396880651,125.60460603353567,142.87041284414858,-1.6362209986779015,-1.4290352191008522,,-76.20079331800414,180.22840833157534,False,False
584,2.2748056264045258,1,1,2.4335953909122297,1,170.51914017065428,147.1824640930863,122.46041345014237,139.87277496535475,-1.7892707177523384,-1.5812772581621741,,-76.49004936964675,171.43566074839327,False,False
585,0.6217167633111327,1,1,0.662659712542288,1,345.09081016428536,308.11590583005454,250.22268693591468,116.22763524304199,-1.002651844804741,-0.6412295379450538,,-78.99464589502932,346.61687580449507,False,False
586,0.3847333137876347,1,1,0.34342569676039547,1,392.1765827659401,356.0635853446438,281.6823598432238,112.77196394057174,-0.9154807483624986,-0.5024295208757257,,-79.40594891412229,419.68748485366814,False,False
587,0.9246298930468692,1,1,1.1272130048058309,1,284.30242114677094,248.26097583473893,198.6159597421065,126.29089046252221,-0.9691660758497592,-0.8214999664653044,,-77.93694393298067,285.4773194564623,False,False
588,2.0306549778538168,1,1,2.5710860145358536,1,182.86102790693985,157.04945779126137,129.02995166229084,140.7202084723917,-1.6767185247493066,-1.4924858442837172,,-76.40722317896636,183.7638512151898,False,False
589,1.473967758139583,1,1,1.7714285938755483,1,220.9578896703897,191.68067913816776,155.2602435844601,134.4654937201946,-1.3987838735029563,-1.2187596842138317,,-77.06654725193023,221.98167010606267,False,False
590,1.1515259268582287,1,1,1.0942329058099007,1,254.15900119725848,223.39274867984932,182.3439553246717,125.71285989842447,-1.2369585924001505,-1.0183446991102583,,-77.97441033593314,255.34691878635203,False,False
591,0.9832468637886849,1,1,1.1996014463851459,1,275.69195362069877,239.89661873021396,192.8893103490118,127.4637750858125,-1.135034543033959,-0.8165766973608264,,-77.81315006643459,276.85478531965055,False,False
592,0.7409384521617205,1,1,1.0717960529273738,1,316.6343047270202,277.34004500339506,217.45186284987722,125.34586872356317,-1.0241446670702852,-0.8459974783654763,,-78.04955447870698,317.82411130785476,False,False
593,0.9955572235969037,1,1,0.9945224531248501,1,274.4663270402816,240.96977817092557,198.06892900745152,123.8911068859154,-1.12329370188684,-0.8709157018531688,,-78.1692420452313,275.6858893671306,False,False
594,0.32556828144788025,1,1,0.3494041647738832,1,416.55608156934613,377.75763143069344,298.9908928038785,112.89356738487194,-0.9746949606087328,-0.8221158512085802,,-79.40702839729438,443.8640682469122,False,False
595,1.6004919127867239,1,1,1.7865636363623172,1,211.03375143907033,182.28761612530798,150.96152447268832,134.62585880833547,-1.424914349915118,-1.2110742465714317,,-77.04112758396097,212.04957937385188,False,False
