Index,gain_kr,gain_ks,gain_to,gain_na,gain_ca,APD90,APD60,APD40,APA,TRI60,TRI40,90PERCENT,90to90,PeakDist,EAD,Alternan,Pro-Arrhythmic
33,1.3789954044435793,0.6529355806836296,4.219847456551625,3.7805427698249585,0.7442430501944864,222.08134531561518,184.33752996992553,3.4688034483697265,146.97185092982326,-1.3067862032846285,-0.7421409932223867,-75.80342000161696,222.84442456444958,71.33600959618343,True,False,True
211,0.29781254926049483,0.8363651542065472,1.0525126928478112,0.7645010959610217,3.6586200130665154,,,,,,,,,,False,True,True
252,0.15480720852944832,4.0983873447999475,0.44635446779934596,0.2245781371132384,2.4170866349004734,,,,,,,,,,False,True,True
258,0.5244909783040922,0.8602977872227039,1.7387829886396582,0.15658819689646158,4.7878197087573975,646.8711497148615,598.7630380911869,203.9734765763278,128.20913259522854,-0.867040544304543,-0.23888240632190552,-78.80855088722045,670.3889033658779,436.33145068079466,True,False,True
348,0.508306657543581,0.9534299565685348,0.22293465385847253,0.7242055723368591,2.6153676794704626,565.7091304890928,517.9592542527243,218.97307235910557,126.97990900093161,-0.8714604758858333,-0.4777244561053789,-78.46587088621749,580.8496799040586,369.1524662957527,True,False,True
358,0.9474747511028634,0.9555456526765637,3.030052384292103,0.48796296372789144,4.936105721748492,470.9597656861297,428.98355316504603,187.81256766914157,124.7084245750057,-0.9144403854047587,-0.3553837120699948,-79.03885703769171,499.60949106962653,318.99090845743194,True,False,True
385,0.11599867776199467,1.1701116495995496,1.429845039252198,0.7318783671674084,2.0804957800459256,,,,,,,,,,False,True,True
436,0.6548881020150494,0.7207733336431605,1.2089466367330355,1.3951904477896864,3.2854193912586096,531.0893774714204,484.4947745500831,213.5302205873886,129.2705270180306,-0.8769847232667363,-0.2638247205269885,-78.32054727048587,532.3371805991046,343.874470268609,True,False,True
491,1.0191235097702738,1.0199263382297896,1.5962382350706623,3.328928752369382,5.84705169466926,494.12802839209326,440.27519369358197,187.54061520670075,140.6512697418558,-0.8591509770686357,-0.3357431732609846,-77.44539291769587,495.0329408882535,313.21582816838054,True,False,True
534,0.9115353387726967,1.3716899046677342,0.5134364498903509,0.9592116811024802,4.513852131603318,495.8323596692062,448.8060245134984,189.1386193598737,130.0430336141451,-0.8971287801051316,-0.3437889998222483,-78.311192691209,511.1092638637638,317.14473147690296,True,False,True
