Index,gain_kr,gain_ks,gain_to,gain_na,gain_ca,APD90,APD60,APD40,APA,TRI60,TRI40,EAD,90PERCENT,90to90,Alternan,Pro-Arrhythmic
368,0.7951160366200747,1,1,0.645297848310313,1,308.4202478454099,275.0279053442646,228.43390824674862,115.69466944924672,-1.0730675821168794,-0.9313240964163971,,-79.01863238403452,309.9511752210674,False,False
369,0.8599884541741438,1,1,0.7048478422146076,1,296.8842929840321,263.573074068001,219.2841479195631,117.33077914955801,-0.9620757814214425,-0.8340121028495934,,-78.85075962674088,298.3237231904641,False,False
370,0.1437887392588696,1,1,0.1020538825637752,1,540.0788928653346,494.6202420954942,394.3099726297078,114.17713667656881,-0.8850064704456977,-0.7219862463469885,,-79.31698856348319,564.8801761710201,False,False
371,1.9559244239077966,1,1,1.6268571633405948,1,188.0099983738619,162.94055831298465,137.10030005773297,133.07682333358105,-1.6091347257825181,-1.4234525456951252,,-77.1773106673371,189.06246313103475,False,False
372,1.1334760600154927,1,1,2.0717864943466826,1,253.946902259544,217.2696666357806,169.19339728995692,137.1361277291396,-1.2044593917787894,-0.9488454496865165,,-76.81706211153282,254.92929384676972,False,False
373,0.5217418182442702,1,1,0.5796624359966038,1,371.4106985804392,334.96362732409034,272.9111169560929,113.84486083716735,-0.9958384038528281,-0.7997805101678382,,-79.25792504848955,373.1702278779703,False,False
374,1.292728408211444,1,1,1.1132252386706485,1,238.96601535991067,208.8976305387332,173.78949945571367,126.03078772162957,-1.1843973735541673,-1.0219545575387396,,-77.92759984290883,240.13534470985178,False,False
375,0.5873753702384655,1,1,1.1386429145075745,1,351.0523210342508,307.7705600176123,231.85173084714916,126.55086222924676,-0.9773113323899267,-0.7747319444095457,,-77.95340296217617,352.23468533641426,False,False
376,0.5038318191984767,1,1,0.3066556363221353,1,353.7936286818003,318.2347109563998,255.9564729158883,112.5970400601768,-1.0232335096127696,-0.6602342301432487,,-79.39692638392224,380.31648387311725,False,False
377,0.834258022976227,1,1,0.5788705299161937,1,301.71735308796633,270.69475462893024,226.5138688313309,113.75547846920566,-1.0931828177649079,-0.7902207280107935,,-79.21273928369823,303.4825948838843,False,False
378,1.58908919087461,1,1,0.9831806274463045,1,213.57214451394975,187.4890404091566,159.82215251831803,123.66968162015775,-1.44459099933679,-1.3036577931808333,,-78.14853093929408,214.79388941067737,False,False
379,0.8631352102730949,1,1,0.5090188211187272,1,295.7276264745742,264.5901190688601,223.82526089297608,112.09276526309256,-1.118096774918872,-0.9554497820537192,,-79.38585030903059,298.9801479205489,False,False
380,1.4422433993556323,1,1,1.824690619995294,1,223.45364472921938,193.12720549176447,156.0304738333798,134.9876440726679,-1.3864198673904877,-1.1989796903444188,,-77.01890681506531,224.4710571661708,False,False
381,1.7746355525101811,1,1,1.1890342588835932,1,199.74806907738093,174.95904323848663,148.53493715118384,127.31256403850766,-1.5037396797648128,-1.3805904803848714,,-77.77482443196291,200.91718518419657,False,False
382,0.5177417989702848,1,1,0.6672895664223882,1,372.1901859731879,335.1662713178084,267.3233529809513,116.39033531046492,-0.9984839675253885,-0.7096500759462335,,-78.99674547104337,373.71473457542015,False,False
383,0.8638838972004526,1,1,0.9661144278662139,1,294.66799899871694,260.3077384249773,208.7452118244837,123.34724808100475,-1.1067847610328976,-0.8566953669818865,,-78.23971957412603,295.9268011589302,False,False
384,0.7882301753088583,1,1,1.0475864432387236,1,307.5621339592617,270.3196353815729,213.4350736165652,124.90830206909408,-1.0616734992409043,-0.8066125333029339,,-78.09086799829925,308.7786024137167,False,False
385,1.2014751540931559,1,1,1.8416404478438813,1,246.89729057223303,211.69683686405187,167.5629863984068,135.13667582903577,-1.2373656609272592,-1.0068067522314292,,-77.01768340026815,247.91477807285264,False,False
